Date,Cat_Var1,Cat_Var2,Base,Base_10,Raw
7/27/08 19:08,A,X,1.791759469,0.77815125,6
3/6/08 13:56,B,Y,1.945910149,0.84509804,7
4/29/08 0:55,C,Z,2.079441542,0.903089987,8
9/19/08 6:16,D,X,2.197224577,0.954242509,9
7/24/08 20:38,E,Y,2.302585093,1,10
1/20/08 0:40,F,Z,2.397895273,1.041392685,11
12/11/08 11:35,C,Z,3.761200116,1.633468456,43
11/22/08 9:03,D,X,3.784189634,1.643452676,44
3/28/08 12:30,E,Y,3.80666249,1.653212514,45
6/30/08 17:12,F,Z,3.828641396,1.662757832,46
6/6/08 12:54,G,X,3.850147602,1.672097858,47
1/20/08 17:31,A,X,3.871201011,1.681241237,48
12/6/08 10:43,B,Y,3.891820298,1.69019608,49
5/29/08 5:15,C,Z,3.912023005,1.698970004,50
1/17/08 20:45,D,X,3.931825633,1.707570176,51
1/9/08 21:34,E,Y,3.951243719,1.716003344,52
7/20/08 9:44,F,Z,3.970291914,1.72427587,53
11/20/08 1:49,G,X,3.988984047,1.73239376,54
5/18/08 13:40,A,X,4.007333185,1.740362689,55
11/5/08 10:10,B,Y,4.025351691,1.748188027,56
8/7/08 5:30,C,Z,4.043051268,1.755874856,57
12/17/08 17:23,D,X,4.060443011,1.763427994,58
10/26/08 20:09,E,Y,4.077537444,1.770852012,59
2/17/08 6:33,F,Z,4.094344562,1.77815125,60
5/24/08 14:14,G,X,4.110873864,1.785329835,61
1/25/08 4:57,A,X,4.127134385,1.792391689,62
11/4/08 7:51,B,Y,4.143134726,1.799340549,63
4/27/08 20:10,C,Z,4.158883083,1.806179974,64
4/6/08 12:09,D,X,4.17438727,1.812913357,65
4/14/08 13:15,E,Y,4.189654742,1.819543936,66
5/27/08 14:38,F,Z,4.204692619,1.826074803,67
1/20/08 15:00,G,X,4.219507705,1.832508913,68
4/20/08 23:30,A,X,4.234106505,1.838849091,69
2/5/08 22:28,B,Y,4.248495242,1.84509804,70
7/27/08 18:44,C,Z,4.262679877,1.851258349,71
7/6/08 0:46,D,X,4.276666119,1.857332496,72
12/26/08 1:26,E,Y,4.290459441,1.86332286,73
2/21/08 3:55,F,Z,4.304065093,1.86923172,74
2/3/08 4:11,G,X,4.304065093,1.86923172,74
3/16/08 19:58,A,X,4.304065093,1.86923172,74
2/23/08 12:08,B,Y,4.304065093,1.86923172,74
11/28/08 9:21,C,Z,4.304065093,1.86923172,74
11/5/08 16:09,D,X,4.304065093,1.86923172,74
